tiempo,valor
36000.0,515.0
36001.0,513.0
36002.0,516.0
36003.0,518.0
36004.0,506.0
36005.0,509.0
36006.0,504.0
36007.0,510.0
36008.0,504.0
36009.0,504.0
36010.0,513.0
36011.0,500.0
36012.0,506.0
36013.0,503.0
36014.0,508.0
36015.0,515.0
36016.0,512.0
36017.0,513.0
36018.0,508.0
36019.0,524.0
36020.0,506.0
36021.0,510.0
36022.0,510.0
36023.0,510.0
36024.0,510.0
36025.0,513.0
36026.0,507.0
36027.0,499.0
36028.0,497.0
36029.0,505.0
36030.0,514.0
36031.0,514.0
36032.0,512.0
36033.0,514.0
36034.0,518.0
36035.00000000001,505.0
36036.0,513.0
36037.0,509.0
36038.00000000001,507.0
36039.0,514.0
36040.0,511.0
36041.00000000001,505.0
36042.0,496.0
36043.0,506.0
36044.00000000001,492.0
36045.0,504.0
36046.0,506.0
36047.00000000001,512.0
36048.0,506.0
36049.0,516.0
36050.00000000001,524.0
36051.0,512.0
36052.0,512.0
36053.0,509.0
36054.0,514.0
36055.0,507.0
36056.0,505.0
36057.0,504.0
36058.0,505.0
36059.0,505.0
36060.0,505.0
36061.0,503.0
36062.0,506.0
36063.0,504.0
36064.0,508.0
36065.0,511.0
36066.0,512.0
36067.0,516.0
36068.0,514.0
36069.0,518.0
36070.0,516.0
36071.0,510.0
36072.0,510.0
36073.0,509.0
36074.0,507.0
36075.0,504.0
36076.0,507.0
36077.0,501.0
36078.0,494.0
36079.0,503.0
36080.0,509.0
36081.0,512.0
36082.0,514.0
36083.0,515.0
36084.0,509.0
36085.0,511.0
36086.0,510.0
36087.0,508.0
36088.0,508.0
36089.0,515.0
36090.0,509.0
36091.0,498.0
36092.0,501.0
36093.0,504.0
36094.0,508.0
36095.0,504.0
36096.0,503.0
36097.0,505.0
36098.0,508.0
36099.00000000001,513.0
36100.0,518.0
36101.0,516.0
36102.00000000001,510.0
36103.0,519.0
36104.0,517.0
36105.00000000001,510.0
36106.0,506.0
36107.0,500.0
36108.00000000001,502.0
36109.0,509.0
36110.0,508.0
36111.00000000001,496.0
36112.0,498.0
36113.0,503.0
36114.0,510.0
36115.0,514.0
36116.0,514.0
36117.0,508.0
36118.0,514.0
36119.0,522.0
36120.0,517.0
36121.0,508.0
36122.0,519.0
36123.0,509.0
36124.0,505.0
36125.0,500.0
36126.0,510.0
36127.0,507.0
36128.0,492.0
36129.0,504.0
36130.0,514.0
36131.0,508.0
36132.0,512.0
36133.0,508.0
36134.0,512.0
36135.0,515.0
36136.0,518.0
36137.0,510.0
36138.0,513.0
36139.0,507.0
36140.0,508.0
36141.0,503.0
36142.0,499.0
36143.0,503.0
36144.0,497.0
36145.0,505.0
36146.0,510.0
36147.0,507.0
36148.0,511.0
36149.0,516.0
36150.0,519.0
36151.0,515.0
36152.0,515.0
36153.0,517.0
36154.0,510.0
36155.0,506.0
36156.0,505.0
36157.0,507.0
36158.0,496.0
36159.0,508.0
36160.00000000001,506.0
36161.0,500.0
36162.0,498.0
36163.00000000001,510.0
36164.0,511.0
36165.0,511.0
36166.00000000001,516.0
36167.0,508.0
36168.0,509.0
36169.00000000001,512.0
36170.0,516.0
36171.0,516.0
36172.00000000001,514.0
36173.0,511.0
36174.0,500.0
36175.00000000001,499.0
36176.0,514.0
36177.0,511.0
36178.0,496.0
36179.0,500.0
36180.0,502.0
36181.0,514.0
36182.0,512.0
36183.0,517.0
36184.0,511.0
36185.0,516.0
36186.0,520.0
36187.0,511.0
36188.0,506.0
36189.0,511.0
36190.0,512.0
36191.0,500.0
36192.0,501.0
36193.0,502.0
36194.0,503.0
36195.0,505.0
36196.0,503.0
36197.0,507.0
36198.0,511.0
36199.0,512.0
36200.0,509.0
36201.0,513.0
36202.0,513.0
36203.0,514.0
36204.0,515.0
36205.0,512.0
36206.0,505.0
36207.0,512.0
36208.0,502.0
36209.0,504.0
36210.0,503.0
36211.0,495.0
36212.0,501.0
36213.0,516.0
36214.0,513.0
36215.0,512.0
36216.0,512.0
36217.0,515.0
36218.0,506.0
36219.0,513.0
36220.0,515.0
36221.0,512.0
36222.0,511.0
36223.0,503.0
36224.00000000001,514.0
36225.0,498.0
36226.0,508.0
36227.00000000001,504.0
36228.0,504.0
36229.0,501.0
36230.00000000001,511.0
36231.0,511.0
36232.0,512.0
36233.00000000001,510.0
36234.0,517.0
36235.0,511.0
36236.00000000001,516.0
36237.0,511.0
36238.0,513.0
36239.0,511.0
36240.0,508.0
36241.0,509.0
36242.0,500.0
36243.0,501.0
36244.0,498.0
36245.0,503.0
36246.0,511.0
36247.0,511.0
36248.0,514.0
36249.0,513.0
36250.0,508.0
36251.0,511.0
36252.0,507.0
36253.0,524.0
36254.0,511.0
36255.0,511.0
36256.0,509.0
36257.0,511.0
36258.0,499.0
36259.0,504.0
36260.0,502.0
36261.0,507.0
36262.0,501.0
36263.0,504.0
36264.0,511.0
36265.0,511.0
36266.0,509.0
36267.0,513.0
36268.0,512.0
36269.0,510.0
36270.0,513.0
36271.0,506.0
36272.0,517.0
36273.0,515.0
36274.0,503.0
36275.0,499.0
36276.0,507.0
36277.0,505.0
36278.0,490.0
36279.0,507.0
36280.0,512.0
36281.0,513.0
36282.0,517.0
36283.0,516.0
36284.0,522.0
36285.00000000001,510.0
36286.0,517.0
36287.0,506.0
36288.00000000001,507.0
36289.0,505.0
36290.0,508.0
36291.00000000001,498.0
36292.0,504.0
36293.0,501.0
36294.00000000001,508.0
36295.0,505.0
36296.0,510.0
36297.00000000001,508.0
36298.0,513.0
36299.0,517.0
36300.00000000001,518.0
36301.0,508.0
36302.0,514.0
36303.0,514.0
36304.0,514.0
36305.0,509.0
36306.0,499.0
36307.0,503.0
36308.0,504.0
36309.0,505.0
36310.0,505.0
36311.0,502.0
36312.0,504.0
36313.0,512.0
36314.0,517.0
36315.0,506.0
36316.0,511.0
36317.0,513.0
36318.0,512.0
36319.0,513.0
36320.0,511.0
36321.0,512.0
36322.0,512.0
36323.0,511.0
36324.0,508.0
36325.0,501.0
36326.0,511.0
36327.0,505.0
36328.0,502.0
36329.0,503.0
36330.0,505.0
36331.0,509.0
36332.0,514.0
36333.0,518.0
36334.0,512.0
36335.0,506.0
36336.0,513.0
36337.0,511.0
36338.0,508.0
36339.0,511.0
36340.0,510.0
36341.0,499.0
36342.0,496.0
36343.0,505.0
36344.0,503.0
36345.0,503.0
36346.0,508.0
36347.0,511.0
36348.0,511.0
36349.00000000001,517.0
36350.0,519.0
36351.0,518.0
36352.00000000001,508.0
36353.0,513.0
36354.0,508.0
36355.00000000001,508.0
36356.0,510.0
36357.0,511.0
36358.00000000001,497.0
36359.0,503.0
36360.0,499.0
36361.00000000001,502.0
36362.0,503.0
36363.0,509.0
36364.0,515.0
36365.0,511.0
36366.0,518.0
36367.0,517.0
36368.0,508.0
36369.0,511.0
36370.0,517.0
36371.0,508.0
36372.0,512.0
36373.0,501.0
36374.0,510.0
36375.0,496.0
36376.0,503.0
36377.0,508.0
36378.0,509.0
36379.0,509.0
36380.0,515.0
36381.0,515.0
36382.0,501.0
36383.0,515.0
36384.0,512.0
36385.0,504.0
36386.0,516.0
36387.0,511.0
36388.0,512.0
36389.0,511.0
36390.0,515.0
36391.0,503.0
36392.0,498.0
36393.0,504.0
36394.0,511.0
36395.0,502.0
36396.0,508.0
36397.0,512.0
36398.0,509.0
36399.0,515.0
36400.0,515.0
36401.0,511.0
36402.0,511.0
36403.0,509.0
36404.0,514.0
36405.0,510.0
36406.0,504.0
36407.0,511.0
36408.0,504.0
36409.0,505.0
36410.00000000001,506.0
36411.0,499.0
36412.0,506.0
36413.00000000001,505.0
36414.0,508.0
36415.0,512.0
36416.00000000001,519.0
36417.0,511.0
36418.0,512.0
36419.00000000001,515.0
36420.0,515.0
36421.0,512.0
36422.00000000001,512.0
36423.0,507.0
36424.0,505.0
36425.00000000001,502.0
36426.0,505.0
36427.0,504.0
36428.0,500.0
36429.0,505.0
36430.0,508.0
36431.0,511.0
36432.0,508.0
36433.0,512.0
36434.0,505.0
36435.0,516.0
36436.0,519.0
36437.0,509.0
36438.0,511.0
36439.0,515.0
36440.0,516.0
36441.0,502.0
36442.0,495.0
36443.0,503.0
36444.0,501.0
36445.0,508.0
36446.0,512.0
36447.0,514.0
36448.0,510.0
36449.0,510.0
36450.0,510.0
36451.0,510.0
36452.0,505.0
36453.0,516.0
36454.0,513.0
36455.0,512.0
36456.0,510.0
36457.0,506.0
36458.0,502.0
36459.0,510.0
36460.0,506.0
36461.0,496.0
36462.0,505.0
36463.0,503.0
36464.0,511.0
36465.0,511.0
36466.0,511.0
36467.0,511.0
36468.0,514.0
