tiempo,valor
10000.0,499.0
10001.0,510.0
10002.0,510.0
10003.0,512.0
10004.0,509.0
10005.0,513.0
10006.0,507.0
10007.0,507.0
10008.0,511.0
10009.0,514.0
10010.0,511.0
10011.000000000002,506.0
10012.0,508.0
10013.0,512.0
10014.0,512.0
10015.0,506.0
10016.0,504.0
10017.0,502.0
10018.0,507.0
10019.0,508.0
10020.0,500.0
10021.0,512.0
10022.0,515.0
10023.0,512.0
10024.0,513.0
10025.0,514.0
10026.0,510.0
10027.000000000002,514.0
10028.0,504.0
10029.0,505.0
10030.0,506.0
10031.0,510.0
10032.0,508.0
10033.0,501.0
10034.0,506.0
10035.0,504.0
10036.0,500.0
10037.0,514.0
10038.0,512.0
10039.0,512.0
10040.000000000002,508.0
10041.0,520.0
10042.0,515.0
10043.000000000002,504.0
10044.0,508.0
10045.0,511.0
10046.0,511.0
10047.0,502.0
10048.0,504.0
10049.0,506.0
10050.0,506.0
10051.0,512.0
10052.0,513.0
10053.0,502.0
10054.0,506.0
10055.0,512.0
10056.000000000002,511.0
10057.0,508.0
10058.0,510.0
10059.000000000002,517.0
10060.0,509.0
10061.0,516.0
10062.0,510.0
10063.0,507.0
10064.0,507.0
10065.0,499.0
10066.0,506.0
10067.0,502.0
10068.0,511.0
10069.0,505.0
10070.0,502.0
10071.0,508.0
10072.000000000002,517.0
10073.0,514.0
10074.0,508.0
10075.000000000002,510.0
10076.0,512.0
10077.0,511.0
10078.0,505.0
10079.0,511.0
10080.0,503.0
10081.0,507.0
10082.0,504.0
10083.0,510.0
10084.0,505.0
10085.0,515.0
10086.0,510.0
10087.0,509.0
10088.000000000002,511.0
10089.0,508.0
10090.0,509.0
10091.000000000002,511.0
10092.0,515.0
10093.0,512.0
10094.0,513.0
10095.0,513.0
10096.0,506.0
10097.0,501.0
10098.0,503.0
10099.0,501.0
10100.0,507.0
10101.0,511.0
10102.0,504.0
10103.0,508.0
10104.000000000002,504.0
10105.0,513.0
10106.0,513.0
10107.000000000002,511.0
10108.0,511.0
10109.0,511.0
10110.0,514.0
10111.0,520.0
10112.0,507.0
10113.0,510.0
10114.0,499.0
10115.0,504.0
10116.0,497.0
10117.0,509.0
10118.0,508.0
10119.0,504.0
10120.000000000002,509.0
10121.0,507.0
10122.0,517.0
10123.0,510.0
10124.0,515.0
10125.0,511.0
10126.0,511.0
10127.0,511.0
10128.0,513.0
10129.0,506.0
10130.0,503.0
10131.0,511.0
10132.0,511.0
10133.0,504.0
10134.0,504.0
10135.0,505.0
10136.000000000002,504.0
10137.0,506.0
10138.0,515.0
10139.0,511.0
10140.0,505.0
10141.0,515.0
10142.0,518.0
10143.0,512.0
10144.0,515.0
10145.0,503.0
10146.0,510.0
10147.0,507.0
10148.0,512.0
10149.0,507.0
10150.0,502.0
10151.0,507.0
10152.000000000002,510.0
10153.0,509.0
10154.0,513.0
10155.0,511.0
10156.0,507.0
10157.0,511.0
10158.0,515.0
10159.0,515.0
10160.0,505.0
10161.0,502.0
10162.0,508.0
10163.0,503.0
10164.0,500.0
10165.000000000002,507.0
10166.0,503.0
10167.0,510.0
10168.000000000002,508.0
10169.0,507.0
10170.0,504.0
10171.0,510.0
10172.0,513.0
10173.0,511.0
10174.0,512.0
10175.0,513.0
10176.0,513.0
10177.0,514.0
10178.0,512.0
10179.0,513.0
10180.0,503.0
10181.000000000002,504.0
10182.0,508.0
10183.0,501.0
10184.000000000002,510.0
10185.0,505.0
10186.0,500.0
10187.0,504.0
10188.0,509.0
10189.0,516.0
10190.0,515.0
10191.0,512.0
10192.0,517.0
10193.0,512.0
10194.0,510.0
10195.0,512.0
10196.0,504.0
10197.000000000002,509.0
10198.0,508.0
10199.0,500.0
10200.000000000002,510.0
10201.0,506.0
10202.0,501.0
10203.0,512.0
10204.0,506.0
10205.0,513.0
10206.0,512.0
10207.0,512.0
10208.0,507.0
10209.0,511.0
10210.0,509.0
