tiempo,valor
18000.0,512.0
18001.0,520.0
18002.0,535.0
18003.0,529.0
18004.0,510.0
18005.0,489.0
18006.0,488.0
18007.0,493.0
18008.0,515.0
18009.0,531.0
18010.0,515.0
18011.0,507.0
18012.0,508.0
18013.0,513.0
18014.0,517.0
18015.0,521.0
18016.0,516.0
18017.0,510.0
18018.0,507.0
18019.000000000004,506.0
18020.0,498.0
18021.0,498.0
18022.000000000004,494.0
18023.0,485.0
18024.0,487.0
18025.000000000004,503.0
18026.0,503.0
18027.0,503.0
18028.0,500.0
18029.0,505.0
18030.0,513.0
18031.0,517.0
18032.0,516.0
18033.0,514.0
18034.0,515.0
18035.0,525.0
18036.0,533.0
18037.0,526.0
18038.0,511.0
18039.0,508.0
18040.0,508.0
18041.0,500.0
18042.0,500.0
18043.0,501.0
18044.0,506.0
18045.0,512.0
18046.0,504.0
18047.0,507.0
18048.0,515.0
18049.0,504.0
18050.0,499.0
18051.000000000004,489.0
18052.0,489.0
18053.0,504.0
18054.000000000004,512.0
18055.0,510.0
18056.0,507.0
18057.0,516.0
18058.0,532.0
18059.0,520.0
18060.0,507.0
18061.0,504.0
18062.0,508.0
18063.0,513.0
18064.0,513.0
18065.0,508.0
18066.0,509.0
18067.0,503.0
18068.0,510.0
18069.0,527.0
18070.0,531.0
18071.0,505.0
18072.0,500.0
18073.0,497.0
18074.0,499.0
18075.0,511.0
18076.0,525.0
18077.0,517.0
18078.0,515.0
18079.0,519.0
18080.000000000004,512.0
18081.0,503.0
18082.0,507.0
18083.000000000004,507.0
18084.0,504.0
18085.0,496.0
18086.000000000004,495.0
18087.0,499.0
18088.0,500.0
18089.0,509.0
18090.0,513.0
18091.0,517.0
18092.0,513.0
18093.0,494.0
18094.0,500.0
18095.0,526.0
18096.0,528.0
18097.0,516.0
18098.0,509.0
18099.0,504.0
18100.0,507.0
18101.0,505.0
18102.0,504.0
18103.0,504.0
18104.0,504.0
18105.0,504.0
18106.0,508.0
18107.0,511.0
18108.0,518.0
18109.0,525.0
18110.0,529.0
18111.0,524.0
18112.000000000004,504.0
18113.0,494.0
18114.0,484.0
18115.000000000004,491.0
18116.0,496.0
18117.0,496.0
18118.000000000004,499.0
18119.0,504.0
18120.0,505.0
18121.0,503.0
18122.0,500.0
18123.0,506.0
18124.0,520.0
18125.0,528.0
18126.0,525.0
18127.0,513.0
18128.0,506.0
18129.0,511.0
18130.0,519.0
18131.0,516.0
18132.0,515.0
18133.0,510.0
18134.0,511.0
18135.0,515.0
18136.0,504.0
18137.0,492.0
18138.0,487.0
18139.0,496.0
18140.0,514.0
18141.0,526.0
18142.0,517.0
18143.0,520.0
18144.000000000004,521.0
18145.0,515.0
18146.0,502.0
18147.000000000004,499.0
18148.0,500.0
18149.0,506.0
18150.000000000004,516.0
18151.0,508.0
18152.0,498.0
18153.0,492.0
18154.0,497.0
18155.0,510.0
18156.0,514.0
18157.0,517.0
18158.0,517.0
18159.0,523.0
18160.0,519.0
18161.0,509.0
18162.0,507.0
18163.0,514.0
18164.0,513.0
18165.0,511.0
18166.0,508.0
18167.0,503.0
