Vector1,Vector2
0.0,507.0
0.001,504.0
0.002,504.0
0.003,505.0
0.004,505.0
0.005,503.0
0.006,509.0
0.007,508.0
0.008,509.0
0.009000000000000001,513.0
0.01,515.0
0.011,513.0
0.012,512.0
0.013000000000000001,513.0
0.014,511.0
0.015,510.0
0.016,510.0
0.017,507.0
0.018000000000000002,505.0
0.019,503.0
0.02,503.0
0.021,504.0
0.022,504.0
0.023,506.0
0.024,508.0
0.025,509.0
0.026000000000000002,515.0
0.027,517.0
0.028,514.0
0.029,512.0
0.03,510.0
0.031,509.0
0.032,507.0
0.033,509.0
0.034,503.0
0.035,506.0
0.036000000000000004,505.0
0.037,505.0
0.038,508.0
0.039,511.0
0.04,508.0
0.041,510.0
0.042,511.0
0.043000000000000003,514.0
0.044,515.0
0.045,513.0
0.046,513.0
0.047,511.0
0.048,510.0
0.049,511.0
0.05,508.0
0.051000000000000004,507.0
0.052000000000000005,503.0
0.053,504.0
0.054,506.0
0.055,505.0
0.056,508.0
0.057,507.0
0.058,511.0
0.059000000000000004,510.0
0.06,513.0
0.061,513.0
0.062,513.0
0.063,512.0
0.064,511.0
0.065,511.0
0.066,511.0
0.067,507.0
0.068,503.0
0.069,504.0
0.07,504.0
0.07100000000000001,507.0
0.07200000000000001,506.0
0.073,509.0
0.074,509.0
0.075,510.0
0.076,512.0
0.077,515.0
0.078,515.0
0.079,513.0
0.08,512.0
0.081,509.0
0.082,508.0
0.083,510.0
0.084,507.0
0.085,504.0
0.08600000000000001,505.0
0.08700000000000001,506.0
0.088,505.0
0.089,507.0
0.09,508.0
0.091,511.0
0.092,511.0
0.093,511.0
0.094,513.0
0.095,513.0
0.096,512.0
0.097,512.0
0.098,511.0
0.099,509.0
0.1,507.0
0.101,504.0
0.10200000000000001,504.0
0.10300000000000001,505.0
0.10400000000000001,505.0
0.105,506.0
0.106,508.0
0.107,506.0
0.108,509.0
0.109,513.0
0.11,513.0
0.111,511.0
0.112,511.0
0.113,511.0
0.114,511.0
0.115,511.0
0.116,511.0
0.117,508.0
0.11800000000000001,505.0
0.11900000000000001,507.0
0.12,505.0
0.121,504.0
0.122,507.0
0.123,508.0
0.124,507.0
0.125,510.0
0.126,512.0
0.127,511.0
0.128,511.0
0.129,514.0
0.13,512.0
0.131,511.0
0.132,512.0
0.133,508.0
0.134,508.0
0.135,505.0
0.136,505.0
0.137,507.0
0.138,504.0
0.139,510.0
0.14,508.0
0.14100000000000001,508.0
0.14200000000000002,513.0
0.14300000000000002,515.0
0.14400000000000002,513.0
0.145,510.0
0.146,509.0
0.147,509.0
0.148,509.0
0.149,509.0
0.15,509.0
0.151,508.0
0.152,503.0
0.153,501.0
0.154,506.0
0.155,505.0
0.156,503.0
0.157,507.0
0.158,508.0
0.159,510.0
0.16,511.0
0.161,514.0
0.162,513.0
0.163,513.0
0.164,509.0
0.165,510.0
0.166,508.0
0.167,507.0
0.168,504.0
0.169,505.0
0.17,506.0
0.171,508.0
0.17200000000000001,508.0
0.17300000000000001,506.0
0.17400000000000002,509.0
0.17500000000000002,512.0
0.176,513.0
0.177,514.0
0.178,513.0
0.179,513.0
0.18,511.0
0.181,510.0
0.182,508.0
0.183,507.0
0.184,507.0
0.185,506.0
0.186,504.0
0.187,508.0
0.188,507.0
0.189,507.0
0.19,509.0
0.191,510.0
0.192,513.0
0.193,512.0
0.194,512.0
0.195,513.0
0.196,513.0
0.197,511.0
0.198,509.0
0.199,509.0
0.2,505.0
0.201,505.0
0.202,505.0
0.203,504.0
0.20400000000000001,504.0
0.20500000000000002,506.0
0.20600000000000002,506.0
0.20700000000000002,507.0
0.20800000000000002,511.0
0.209,512.0
0.21,513.0
0.211,512.0
0.212,511.0
0.213,511.0
0.214,512.0
0.215,511.0
0.216,508.0
0.217,507.0
0.218,503.0
0.219,506.0
0.22,503.0
0.221,505.0
0.222,507.0
0.223,507.0
0.224,510.0
0.225,510.0
0.226,511.0
0.227,512.0
0.228,514.0
0.229,513.0
0.23,511.0
0.231,509.0
0.232,508.0
0.233,507.0
0.234,506.0
0.23500000000000001,506.0
0.23600000000000002,507.0
0.23700000000000002,507.0
0.23800000000000002,508.0
0.23900000000000002,510.0
0.24,508.0
0.241,507.0
0.242,510.0
0.243,512.0
0.244,510.0
0.245,511.0
0.246,510.0
0.247,509.0
0.248,509.0
0.249,510.0
0.25,508.0
0.251,507.0
0.252,505.0
0.253,503.0
0.254,508.0
0.255,507.0
0.256,508.0
0.257,508.0
0.258,511.0
0.259,511.0
0.26,511.0
0.261,512.0
0.262,513.0
0.263,513.0
0.264,512.0
0.265,511.0
0.266,510.0
0.267,508.0
0.268,504.0
0.269,504.0
0.27,505.0
0.271,507.0
0.272,505.0
0.273,509.0
0.274,509.0
0.275,510.0
0.276,512.0
0.277,512.0
0.278,515.0
0.279,514.0
0.28,513.0
0.281,512.0
0.28200000000000003,509.0
0.28300000000000003,510.0
0.28400000000000003,507.0
0.28500000000000003,503.0
0.28600000000000003,504.0
0.28700000000000003,505.0
0.28800000000000003,504.0
0.289,506.0
0.29,507.0
0.291,509.0
0.292,512.0
0.293,511.0
0.294,512.0
0.295,512.0
0.296,510.0
0.297,511.0
0.298,511.0
0.299,508.0
0.3,509.0
0.301,506.0
0.302,504.0
0.303,505.0
0.304,506.0
0.305,504.0
0.306,508.0
0.307,506.0
0.308,510.0
0.309,512.0
0.31,512.0
0.311,514.0
0.312,514.0
0.313,514.0
0.314,513.0
0.315,510.0
0.316,510.0
0.317,510.0
0.318,506.0
0.319,505.0
0.32,507.0
0.321,505.0
0.322,507.0
0.323,508.0
0.324,507.0
0.325,511.0
0.326,513.0
0.327,513.0
0.328,513.0
0.329,512.0
0.33,510.0
0.331,509.0
0.332,510.0
0.333,509.0
0.334,508.0
0.335,505.0
0.336,503.0
0.337,507.0
0.338,507.0
0.339,508.0
0.34,508.0
0.341,508.0
0.342,511.0
0.343,512.0
0.34400000000000003,513.0
0.34500000000000003,513.0
0.34600000000000003,513.0
0.34700000000000003,512.0
0.34800000000000003,510.0
0.34900000000000003,509.0
0.35000000000000003,510.0
0.35100000000000003,507.0
0.352,502.0
0.353,504.0
0.354,505.0
0.355,507.0
0.356,507.0
0.357,508.0
0.358,507.0
0.359,510.0
0.36,512.0
0.361,514.0
0.362,512.0
0.363,511.0
0.364,512.0
0.365,511.0
0.366,509.0
0.367,507.0
0.368,507.0
0.369,504.0
0.37,507.0
0.371,505.0
0.372,506.0
0.373,508.0
0.374,507.0
0.375,509.0
0.376,513.0
0.377,513.0
0.378,513.0
0.379,512.0
0.38,512.0
0.381,511.0
0.382,507.0
0.383,506.0
0.384,505.0
0.385,502.0
0.386,503.0
0.387,507.0
0.388,506.0
0.389,508.0
0.39,510.0
0.391,509.0
0.392,513.0
0.393,513.0
0.394,513.0
0.395,512.0
0.396,513.0
0.397,512.0
0.398,512.0
0.399,508.0
0.4,505.0
0.401,505.0
0.402,504.0
0.403,505.0
0.404,505.0
0.405,506.0
0.406,507.0
0.40700000000000003,507.0
0.40800000000000003,508.0
0.40900000000000003,512.0
0.41000000000000003,513.0
0.41100000000000003,512.0
0.41200000000000003,514.0
0.41300000000000003,512.0
0.41400000000000003,511.0
0.41500000000000004,508.0
0.41600000000000004,509.0
0.417,507.0
0.418,507.0
0.419,505.0
0.42,507.0
0.421,506.0
0.422,507.0
0.423,507.0
0.424,508.0
0.425,510.0
0.426,512.0
0.427,512.0
0.428,511.0
0.429,513.0
0.43,511.0
0.431,512.0
0.432,512.0
0.433,508.0
0.434,507.0
0.435,504.0
0.436,505.0
0.437,504.0
0.438,506.0
0.439,506.0
0.44,510.0
0.441,513.0
0.442,513.0
0.443,515.0
0.444,515.0
0.445,512.0
0.446,514.0
0.447,511.0
0.448,510.0
0.449,510.0
0.45,507.0
0.451,504.0
0.452,502.0
0.453,503.0
0.454,505.0
0.455,504.0
0.456,506.0
0.457,508.0
0.458,508.0
0.459,513.0
0.46,514.0
0.461,513.0
0.462,511.0
0.463,510.0
0.464,512.0
0.465,510.0
0.466,511.0
0.467,508.0
0.468,506.0
0.46900000000000003,505.0
0.47000000000000003,506.0
0.47100000000000003,507.0
0.47200000000000003,505.0
0.47300000000000003,506.0
0.47400000000000003,510.0
0.47500000000000003,511.0
0.47600000000000003,512.0
0.47700000000000004,512.0
0.47800000000000004,510.0
0.47900000000000004,513.0
0.48,511.0
0.481,512.0
0.482,511.0
0.483,507.0
0.484,506.0
0.485,503.0
0.486,504.0
0.487,505.0
0.488,507.0
0.489,508.0
0.49,507.0
0.491,509.0
0.492,512.0
0.493,514.0
0.494,512.0
0.495,513.0
0.496,512.0
0.497,511.0
0.498,510.0
0.499,509.0
0.5,506.0
0.501,505.0
0.502,506.0
0.503,503.0
0.504,506.0
0.505,508.0
0.506,507.0
0.507,507.0
0.508,511.0
0.509,512.0
0.51,513.0
0.511,513.0
0.512,512.0
0.513,509.0
0.514,510.0
0.515,508.0
0.516,508.0
0.517,506.0
0.518,505.0
0.519,504.0
0.52,507.0
0.521,507.0
0.522,507.0
0.523,508.0
0.524,510.0
0.525,510.0
0.526,514.0
0.527,513.0
0.528,513.0
0.529,512.0
0.53,513.0
0.531,512.0
0.532,511.0
0.533,508.0
0.534,505.0
0.535,506.0
0.536,505.0
0.537,507.0
0.538,507.0
0.539,508.0
0.54,507.0
0.541,511.0
0.542,513.0
0.543,512.0
0.544,512.0
0.545,513.0
0.546,512.0
0.547,514.0
0.548,509.0
0.549,510.0
0.55,509.0
0.551,506.0
0.552,504.0
0.553,503.0
0.554,505.0
0.555,505.0
0.556,507.0
0.557,508.0
0.558,511.0
0.559,515.0
0.56,512.0
0.561,512.0
0.562,511.0
0.5630000000000001,511.0
0.5640000000000001,511.0
0.5650000000000001,508.0
0.5660000000000001,508.0
0.5670000000000001,506.0
0.5680000000000001,505.0
0.5690000000000001,504.0
0.5700000000000001,506.0
0.5710000000000001,506.0
0.5720000000000001,506.0
0.5730000000000001,506.0
0.5740000000000001,510.0
0.5750000000000001,509.0
0.5760000000000001,513.0
0.577,513.0
0.578,514.0
0.579,513.0
0.58,512.0
0.581,512.0
0.582,509.0
0.583,509.0
0.584,504.0
0.585,503.0
0.586,505.0
0.587,505.0
0.588,505.0
0.589,508.0
0.59,508.0
0.591,511.0
0.592,514.0
0.593,512.0
0.594,512.0
0.595,511.0
0.596,513.0
0.597,511.0
0.598,508.0
0.599,510.0
0.6,504.0
0.601,505.0
0.602,505.0
0.603,506.0
0.604,505.0
0.605,508.0
0.606,507.0
0.607,508.0
0.608,510.0
0.609,513.0
0.61,512.0
0.611,514.0
0.612,512.0
0.613,512.0
0.614,513.0
0.615,509.0
0.616,510.0
0.617,507.0
0.618,506.0
0.619,505.0
0.62,507.0
0.621,508.0
0.622,508.0
0.623,507.0
0.624,507.0
0.625,510.0
0.626,513.0
0.627,513.0
0.628,512.0
0.629,513.0
0.63,511.0
0.631,511.0
0.632,509.0
0.633,508.0
0.634,505.0
0.635,506.0
0.636,504.0
0.637,506.0
0.638,508.0
0.639,508.0
0.64,506.0
0.641,510.0
0.642,510.0
0.643,512.0
0.644,512.0
0.645,511.0
0.646,510.0
0.647,510.0
0.648,511.0
0.649,511.0
0.65,507.0
0.651,503.0
0.652,506.0
0.653,505.0
0.654,505.0
0.655,508.0
0.656,509.0
0.657,508.0
0.658,511.0
0.659,513.0
0.66,512.0
0.661,512.0
0.662,512.0
0.663,511.0
0.664,510.0
0.665,510.0
0.666,508.0
0.667,505.0
0.668,505.0
0.669,504.0
0.67,504.0
0.671,504.0
0.672,509.0
0.673,508.0
0.674,509.0
0.675,512.0
0.676,513.0
0.677,512.0
0.678,512.0
0.679,512.0
0.68,510.0
0.681,512.0
0.682,511.0
0.683,507.0
0.684,506.0
0.685,504.0
0.686,504.0
0.687,507.0
0.6880000000000001,509.0
0.6890000000000001,509.0
0.6900000000000001,508.0
0.6910000000000001,511.0
0.6920000000000001,511.0
0.6930000000000001,512.0
0.6940000000000001,512.0
0.6950000000000001,512.0
0.6960000000000001,512.0
0.6970000000000001,511.0
0.6980000000000001,511.0
0.6990000000000001,511.0
0.7000000000000001,509.0
0.7010000000000001,506.0
0.7020000000000001,505.0
0.7030000000000001,504.0
0.704,507.0
0.705,507.0
0.706,506.0
0.707,507.0
0.708,511.0
0.709,512.0
0.71,512.0
0.711,512.0
0.712,509.0
0.713,511.0
0.714,511.0
0.715,511.0
0.716,508.0
0.717,507.0
0.718,504.0
0.719,506.0
0.72,508.0
0.721,507.0
0.722,507.0
0.723,506.0
0.724,508.0
0.725,511.0
0.726,511.0
0.727,514.0
0.728,513.0
0.729,511.0
0.73,512.0
0.731,508.0
0.732,509.0
0.733,506.0
0.734,504.0
0.735,504.0
0.736,505.0
0.737,505.0
0.738,508.0
0.739,507.0
0.74,508.0
0.741,511.0
0.742,512.0
0.743,513.0
0.744,512.0
0.745,513.0
0.746,511.0
0.747,511.0
0.748,509.0
0.749,507.0
0.75,505.0
0.751,504.0
0.752,506.0
0.753,506.0
0.754,509.0
0.755,506.0
0.756,508.0
0.757,509.0
0.758,511.0
0.759,513.0
0.76,513.0
0.761,512.0
0.762,511.0
0.763,512.0
0.764,510.0
0.765,509.0
0.766,508.0
0.767,504.0
0.768,504.0
0.769,506.0
0.77,507.0
0.771,506.0
0.772,507.0
0.773,508.0
0.774,510.0
0.775,512.0
0.776,512.0
0.777,512.0
0.778,513.0
0.779,512.0
0.78,510.0
0.781,511.0
0.782,508.0
0.783,505.0
0.784,506.0
0.785,505.0
0.786,509.0
0.787,507.0
0.788,505.0
0.789,507.0
0.79,506.0
0.791,510.0
0.792,512.0
0.793,513.0
0.794,513.0
0.795,512.0
0.796,511.0
0.797,511.0
0.798,510.0
0.799,508.0
0.8,506.0
0.801,504.0
0.802,504.0
0.803,505.0
0.804,505.0
0.805,506.0
0.806,505.0
0.807,509.0
0.808,511.0
0.809,512.0
0.81,514.0
0.811,511.0
0.812,511.0
0.8130000000000001,511.0
0.8140000000000001,510.0
0.8150000000000001,510.0
0.8160000000000001,509.0
0.8170000000000001,504.0
0.8180000000000001,506.0
0.8190000000000001,504.0
0.8200000000000001,506.0
0.8210000000000001,505.0
0.8220000000000001,505.0
0.8230000000000001,505.0
0.8240000000000001,510.0
0.8250000000000001,512.0
0.8260000000000001,515.0
0.8270000000000001,514.0
0.8280000000000001,513.0
0.8290000000000001,512.0
0.8300000000000001,511.0
0.8310000000000001,511.0
0.8320000000000001,510.0
0.833,508.0
0.834,507.0
0.835,505.0
0.836,506.0
0.837,505.0
0.838,505.0
0.839,508.0
0.84,507.0
0.841,509.0
