tiempo,valor
20000.0,508.0
20001.0,505.0
20002.0,507.0
20003.0,506.0
20004.0,506.0
20005.0,504.0
20006.0,506.0
20007.0,503.0
20008.0,502.0
20009.0,502.0
20010.0,502.0
20011.0,509.0
20012.0,511.0
20013.0,513.0
20014.0,513.0
20015.0,515.0
20016.0,515.0
20017.0,516.0
20018.0,515.0
20019.000000000004,514.0
20020.0,514.0
20021.0,499.0
20022.000000000004,489.0
20023.0,494.0
20024.0,500.0
20025.000000000004,506.0
20026.0,509.0
20027.0,511.0
20028.0,511.0
20029.0,511.0
20030.0,511.0
20031.0,518.0
20032.0,517.0
20033.0,516.0
20034.0,513.0
20035.0,515.0
20036.0,515.0
20037.0,509.0
20038.0,508.0
20039.0,501.0
20040.0,494.0
20041.0,494.0
20042.0,498.0
20043.0,502.0
20044.0,515.0
20045.0,521.0
20046.0,516.0
20047.0,519.0
20048.0,515.0
20049.0,511.0
20050.0,510.0
20051.000000000004,510.0
20052.0,511.0
20053.0,511.0
20054.000000000004,519.0
20055.0,513.0
20056.0,500.0
20057.000000000004,495.0
20058.0,500.0
20059.0,507.0
20060.0,507.0
20061.0,507.0
20062.0,508.0
20063.0,508.0
20064.0,514.0
20065.0,515.0
20066.0,517.0
20067.0,514.0
20068.0,510.0
20069.0,508.0
20070.0,509.0
20071.0,510.0
20072.0,495.0
20073.0,487.0
20074.0,488.0
20075.0,498.0
20076.0,528.0
20077.0,527.0
20078.0,509.0
20079.0,519.0
20080.000000000004,522.0
20081.0,514.0
20082.0,519.0
20083.000000000004,516.0
20084.0,510.0
20085.0,518.0
20086.000000000004,513.0
20087.0,507.0
20088.0,505.0
20089.000000000004,498.0
20090.0,494.0
20091.0,498.0
20092.0,504.0
20093.0,501.0
20094.0,495.0
20095.0,491.0
20096.0,503.0
20097.0,521.0
20098.0,530.0
20099.0,520.0
20100.0,509.0
20101.0,512.0
20102.0,521.0
20103.0,518.0
20104.0,508.0
20105.0,506.0
20106.0,501.0
20107.0,499.0
20108.0,499.0
20109.0,500.0
20110.0,505.0
20111.0,505.0
20112.000000000004,508.0
20113.0,512.0
20114.0,516.0
20115.000000000004,518.0
20116.0,518.0
20117.0,515.0
20118.000000000004,514.0
20119.0,512.0
20120.0,512.0
20121.0,512.0
20122.0,509.0
20123.0,507.0
20124.0,501.0
20125.0,495.0
20126.0,495.0
20127.0,494.0
20128.0,507.0
20129.0,513.0
20130.0,511.0
20131.0,515.0
20132.0,517.0
20133.0,513.0
20134.0,510.0
20135.0,507.0
20136.0,505.0
20137.0,516.0
20138.0,519.0
20139.0,508.0
20140.0,504.0
20141.0,502.0
20142.0,503.0
20143.0,508.0
20144.000000000004,508.0
20145.0,506.0
20146.0,517.0
20147.000000000004,513.0
20148.0,513.0
20149.0,521.0
20150.000000000004,521.0
20151.0,515.0
20152.0,523.0
20153.0,513.0
20154.0,509.0
20155.0,501.0
20156.0,496.0
20157.0,494.0
20158.0,492.0
20159.0,494.0
20160.0,498.0
20161.0,509.0
20162.0,519.0
20163.0,521.0
20164.0,519.0
20165.0,515.0
20166.0,508.0
20167.0,510.0
20168.0,509.0
20169.0,512.0
20170.0,519.0
20171.0,526.0
20172.0,499.0
20173.0,487.0
20174.0,502.0
20175.0,502.0
20176.000000000004,506.0
20177.0,508.0
20178.0,505.0
20179.000000000004,507.0
20180.0,511.0
20181.0,513.0
20182.000000000004,519.0
20183.0,519.0
20184.0,513.0
20185.0,511.0
20186.0,513.0
20187.0,512.0
20188.0,512.0
20189.0,505.0
20190.0,495.0
20191.0,495.0
20192.0,503.0
20193.0,504.0
20194.0,507.0
20195.0,515.0
20196.0,513.0
20197.0,518.0
20198.0,517.0
20199.0,516.0
20200.0,509.0
20201.0,510.0
20202.0,511.0
20203.0,507.0
20204.0,508.0
20205.000000000004,504.0
20206.0,503.0
20207.0,502.0
20208.000000000004,503.0
20209.0,506.0
20210.0,507.0
20211.000000000004,504.0
20212.0,504.0
20213.0,512.0
20214.000000000004,511.0
20215.0,515.0
20216.0,516.0
20217.0,512.0
20218.0,513.0
20219.0,523.0
20220.0,517.0
20221.0,510.0
20222.0,502.0
20223.0,498.0
20224.0,500.0
20225.0,508.0
20226.0,508.0
20227.0,510.0
20228.0,506.0
20229.0,508.0
20230.0,514.0
20231.0,513.0
20232.0,516.0
20233.0,514.0
20234.0,512.0
20235.0,514.0
20236.0,509.0
20237.000000000004,507.0
20238.0,505.0
20239.0,497.0
20240.000000000004,496.0
20241.0,496.0
20242.0,496.0
20243.000000000004,512.0
20244.0,521.0
20245.0,518.0
20246.0,511.0
20247.0,516.0
20248.0,518.0
20249.0,513.0
20250.0,505.0
20251.0,513.0
20252.0,512.0
20253.0,509.0
20254.0,497.0
20255.0,499.0
20256.0,501.0
20257.0,505.0
20258.0,512.0
20259.0,510.0
20260.0,506.0
20261.0,508.0
20262.0,505.0
20263.0,502.0
20264.0,507.0
20265.0,517.0
20266.0,514.0
20267.0,518.0
20268.0,527.0
20269.000000000004,521.0
20270.0,511.0
20271.0,507.0
20272.000000000004,504.0
20273.0,500.0
20274.0,500.0
20275.000000000004,503.0
20276.0,505.0
20277.0,507.0
20278.0,508.0
20279.0,510.0
20280.0,511.0
20281.0,516.0
20282.0,512.0
20283.0,511.0
20284.0,510.0
20285.0,501.0
20286.0,504.0
20287.0,506.0
20288.0,510.0
20289.0,518.0
20290.0,512.0
20291.0,502.0
20292.0,504.0
20293.0,507.0
20294.0,508.0
20295.0,510.0
20296.0,511.0
20297.0,513.0
20298.0,515.0
20299.0,517.0
20300.0,514.0
20301.000000000004,513.0
20302.0,506.0
20303.0,506.0
20304.000000000004,510.0
20305.0,508.0
20306.0,502.0
20307.000000000004,498.0
20308.0,499.0
20309.0,505.0
20310.0,509.0
20311.0,508.0
20312.0,507.0
20313.0,509.0
20314.0,513.0
20315.0,517.0
20316.0,517.0
20317.0,516.0
20318.0,514.0
20319.0,512.0
20320.0,510.0
20321.0,509.0
20322.0,504.0
20323.0,499.0
20324.0,499.0
20325.0,503.0
20326.0,506.0
20327.0,505.0
20328.0,507.0
20329.0,506.0
20330.000000000004,510.0
20331.0,517.0
20332.0,521.0
20333.000000000004,519.0
20334.0,514.0
20335.0,512.0
20336.000000000004,511.0
20337.0,510.0
20338.0,509.0
20339.000000000004,509.0
20340.0,501.0
20341.0,498.0
20342.0,495.0
20343.0,497.0
20344.0,504.0
20345.0,511.0
20346.0,510.0
20347.0,512.0
20348.0,517.0
20349.0,519.0
20350.0,520.0
20351.0,517.0
20352.0,511.0
20353.0,513.0
20354.0,512.0
20355.0,506.0
20356.0,503.0
20357.0,499.0
20358.0,504.0
20359.0,506.0
20360.0,505.0
20361.0,502.0
20362.000000000004,498.0
20363.0,505.0
20364.0,511.0
20365.000000000004,519.0
20366.0,520.0
20367.0,517.0
20368.000000000004,514.0
20369.0,518.0
20370.0,517.0
20371.0,507.0
20372.0,500.0
20373.0,492.0
20374.0,499.0
20375.0,502.0
20376.0,506.0
20377.0,509.0
20378.0,498.0
20379.0,497.0
20380.0,504.0
20381.0,516.0
20382.0,530.0
20383.0,539.0
20384.0,516.0
20385.0,509.0
20386.0,515.0
20387.0,524.0
20388.0,515.0
20389.0,504.0
20390.0,497.0
20391.0,494.0
20392.0,496.0
20393.0,501.0
20394.000000000004,501.0
20395.0,508.0
20396.0,508.0
20397.000000000004,511.0
20398.0,514.0
20399.0,515.0
